Joint_L0_deg,Joint_L1_deg,Joint_L2_U_deg,Joint_L3_U_deg,Joint_L2_R_deg,Joint_L2_L_deg,Joint_L3_R_deg,Joint_L3_L_deg,Joint_L4_R_deg,Joint_L4_L_deg,Joint_L5_R_deg,Joint_L5_L_deg,Joint_L6_R_deg,Joint_L6_L_deg,Joint_L7_R_deg,Joint_L7_L_deg,Joint_L8_R_deg,Joint_L8_L_deg
0.0,0.0,0.0,0.0,0.0,0.0,79.98490905761719,-79.98490905761719,96.14231872558594,-96.14231872558594,100.0957260131836,-100.0957260131836,90.00020599365234,-90.00020599365234,0.0,0.0,0.0,0.0
6.108421501949124e-08,0.0,0.0,0.0,0.0350794680416584,-0.0350809283554554,79.95101165771484,-79.95101165771484,96.14826965332031,-96.14826965332031,100.0397720336914,-100.0397720336914,90.04635620117188,-90.04635620117188,-0.04126755893230438,0.04128001257777214,0.009456966072320938,0.009456316009163857
2.401955612185702e-07,0.0,0.0,0.0,0.13793960213661194,-0.13794535398483276,79.85162353515625,-79.85162353515625,96.16571044921875,-96.16571807861328,99.8757095336914,-99.87570190429688,90.18165588378906,-90.18165588378906,-0.16227245330810547,0.16232141852378845,0.037186719477176666,0.03718416020274162
5.31122054781008e-07,0.0,0.0,0.0,0.3050130009651184,-0.30502569675445557,79.69019317626953,-79.690185546875,96.19404602050781,-96.19405364990234,99.60922241210938,-99.60919952392578,90.40142822265625,-90.40143585205078,-0.3588179051876068,0.3589262068271637,0.08222752064466476,0.0822218656539917
9.276517971557041e-07,0.0,0.0,0.0,0.5327322483062744,-0.5327544212341309,79.47016906738281,-79.47015380859375,96.23265838623047,-96.23268127441406,99.24600982666016,-99.24595642089844,90.70097351074219,-90.70098114013672,-0.6267073154449463,0.6268965005874634,0.1436176598072052,0.14360778033733368
1.4235727121558739e-06,0.0,0.0,0.0,0.8175299763679504,-0.8175640106201172,79.19498443603516,-79.19496154785156,96.28096008300781,-96.28099060058594,98.791748046875,-98.79167175292969,91.07559967041016,-91.07560729980469,-0.9617438912391663,0.9620341658592224,0.22039540112018585,0.2203802466392517
2.012673121498665e-06,0.0,0.0,0.0,1.1558387279510498,-1.1558868885040283,78.86810302734375,-78.86807250976562,96.33834075927734,-96.33837127685547,98.25214385986328,-98.25203704833984,91.52061462402344,-91.5206298828125,-1.3597310781478882,1.3601415157318115,0.3115990161895752,0.31157761812210083
2.6887405510933604e-06,0.0,0.0,0.0,1.5440911054611206,-1.5441553592681885,78.49295806884766,-78.49292755126953,96.40418243408203,-96.40422821044922,97.63287353515625,-97.63272857666016,92.03132629394531,-92.0313491821289,-1.8164719343185425,1.817020058631897,0.4162667691707611,0.4162381589412689
3.4455636068742024e-06,0.0,0.0,0.0,1.978719711303711,-1.9788020849227905,78.07300567626953,-78.07295989990234,96.4778823852539,-96.47795104980469,96.93962860107422,-96.93944549560547,92.60304260253906,-92.60307312011719,-2.327770233154297,2.32847261428833,0.5334370136260986,0.533400297164917
4.276929757907055e-06,0.0,0.0,0.0,2.4561569690704346,-2.456259250640869,77.61168670654297,-77.61163330078125,96.55885314941406,-96.5589370727539,96.17810821533203,-96.1778793334961,93.23107147216797,-93.23110961914062,-2.88942813873291,2.8903002738952637,0.6621478199958801,0.6621023416519165
5.176628292247187e-06,0.0,0.0,0.0,2.9728360176086426,-2.9729597568511963,77.11245727539062,-77.11238861083984,96.64647674560547,-96.64657592773438,95.35398864746094,-95.35371398925781,93.91072082519531,-93.9107666015625,-3.49725079536438,3.4983060359954834,0.8014377951622009,0.8013826608657837
6.138446224213112e-06,0.0,0.0,0.0,3.5251893997192383,-3.5253360271453857,76.57875061035156,-76.57866668701172,96.74015045166016,-96.74026489257812,94.47297668457031,-94.47264099121094,94.63729095458984,-94.63733673095703,-4.147039890289307,4.14829158782959,0.950344979763031,0.9502796530723572
7.15617125024437e-06,0.0,0.0,0.0,4.109648704528809,-4.1098198890686035,76.01403045654297,-76.01393127441406,96.83926391601562,-96.83940887451172,93.54075622558594,-93.54036712646484,95.40609741210938,-95.40615844726562,-4.834599494934082,4.836058616638184,1.1079076528549194,1.1078314781188965
8.223590157285798e-06,0.0,0.0,0.0,4.722646713256836,-4.722843647003174,75.4217300415039,-75.42162322998047,96.94322204589844,-96.9433822631836,92.5630111694336,-92.56256103515625,96.21244049072266,-96.21250915527344,-5.555731296539307,5.557408332824707,1.273163914680481,1.2730764150619507
9.334496098745149e-06,0.0,0.0,0.0,5.3606181144714355,-5.360841274261475,74.8052978515625,-74.80517578125,97.0514144897461,-97.05159759521484,91.5454330444336,-91.544921875,97.05164337158203,-97.05171966552734,-6.306241989135742,6.308145523071289,1.4451525211334229,1.445053219795227
1.0482672223588452e-05,0.0,0.0,0.0,6.019992828369141,-6.020244121551514,74.1681900024414,-74.16804504394531,97.16323852539062,-97.16344451904297,90.49371337890625,-90.4931411743164,97.91899108886719,-97.91908264160156,-7.081932544708252,7.084069728851318,1.6229115724563599,1.6227998733520508
1.1661908501992002e-05,0.0,0.0,0.0,6.697206020355225,-6.697484493255615,73.51384735107422,-73.51368713378906,97.27808380126953,-97.27831268310547,89.4135513305664,-89.41291046142578,98.80980682373047,-98.80990600585938,-7.878607273101807,7.880984783172607,1.8054791688919067,1.805355191230774
1.2865992175647989e-05,0.0,0.0,0.0,7.388687610626221,-7.388995170593262,72.84571075439453,-72.84554290771484,97.39534759521484,-97.39559936523438,88.31062316894531,-88.3099136352539,99.71939086914062,-99.71949768066406,-8.69206714630127,8.694690704345703,1.9918936491012573,1.991756796836853
1.40887095767539e-05,0.0,0.0,0.0,8.090869903564453,-8.091206550598145,72.167236328125,-72.16704559326172,97.51443481445312,-97.51471710205078,87.19062805175781,-87.18984985351562,100.64305114746094,-100.6431655883789,-9.518115997314453,9.520989418029785,2.1811928749084473,2.1810429096221924
1.5323854313464835e-05,0.0,0.0,0.0,8.800189018249512,-8.800555229187012,71.48187255859375,-71.4816665649414,97.63472747802734,-97.63502502441406,86.05924987792969,-86.05841064453125,101.57610321044922,-101.57622528076172,-10.352560997009277,10.355685234069824,2.3724160194396973,2.372252941131592
1.6565209079999477e-05,0.0,0.0,0.0,9.513075828552246,-9.513471603393555,70.79305267333984,-70.79283142089844,97.75562286376953,-97.75595092773438,84.92218017578125,-84.92127227783203,102.51384735107422,-102.51398468017578,-11.191202163696289,11.194579124450684,2.564600944519043,2.564424753189087
1.7806563846534118e-05,0.0,0.0,0.0,10.225960731506348,-10.226386070251465,70.10424041748047,-70.10400390625,97.87651824951172,-97.87686920166016,83.78511810302734,-83.78414154052734,103.45158386230469,-103.45172882080078,-12.029840469360352,12.033472061157227,2.7567853927612305,2.7565958499908447
1.9041708583245054e-05,0.0,0.0,0.0,10.935280799865723,-10.935735702514648,69.41887664794922,-69.41861724853516,97.99681091308594,-97.99718475341797,82.65373992919922,-82.65269470214844,104.38462829589844,-104.3847885131836,-12.864286422729492,12.868169784545898,2.9480090141296387,2.9478061199188232
2.026442962232977e-05,0.0,0.0,0.0,11.63746452331543,-11.637948989868164,68.74039459228516,-68.74012756347656,98.11589050292969,-98.11629486083984,81.53373718261719,-81.53262329101562,105.30829620361328,-105.30845642089844,-13.690337181091309,13.69446849822998,3.1373085975646973,3.1370925903320312
2.1468511476996355e-05,0.0,0.0,0.0,12.328946113586426,-12.329460144042969,68.07225799560547,-68.07197570800781,98.23316192626953,-98.23358154296875,80.4308090209961,-80.42963409423828,106.21788024902344,-106.21805572509766,-14.50379753112793,14.50817584991455,3.3237228393554688,3.3234944343566895
2.2647747755399905e-05,0.0,0.0,0.0,13.006157875061035,-13.006699562072754,67.41791534423828,-67.41761779785156,98.34800720214844,-98.34845733642578,79.35064697265625,-79.34940338134766,107.10868835449219,-107.10887908935547,-15.300471305847168,15.305089950561523,3.5062904357910156,3.506049156188965
2.3795921151759103e-05,0.0,0.0,0.0,13.665532112121582,-13.66610050201416,66.78080749511719,-66.78048706054688,98.45983123779297,-98.46029663085938,78.29893493652344,-78.2976303100586,107.97604370117188,-107.97623443603516,-16.076160430908203,16.081010818481445,3.684048652648926,3.68379545211792
2.4906828912207857e-05,0.0,0.0,0.0,14.303504943847656,-14.304100036621094,66.16437530517578,-66.1640396118164,98.5680160522461,-98.56851959228516,77.2813491821289,-77.27998352050781,108.81523895263672,-108.81544494628906,-16.826671600341797,16.831748962402344,3.8560380935668945,3.8557729721069336
2.5974248273996636e-05,0.0,0.0,0.0,14.916501998901367,-14.917122840881348,65.57207489013672,-65.57173156738281,98.67198181152344,-98.67249298095703,76.3036117553711,-76.30218505859375,109.62158966064453,-109.62179565429688,-17.54780387878418,17.5531005859375,4.021294116973877,4.021017551422119
2.699197648325935e-05,0.0,0.0,0.0,15.500962257385254,-15.501607894897461,65.0073471069336,-65.00698852539062,98.7710952758789,-98.7716293334961,75.37138366699219,-75.36990356445312,110.39039611816406,-110.39061737060547,-18.23536491394043,18.240869522094727,4.17885684967041,4.178569793701172
2.795379259623587e-05,0.0,0.0,0.0,16.053314208984375,-16.053983688354492,64.4736557006836,-64.47327423095703,98.8647689819336,-98.86532592773438,74.49037170410156,-74.48883819580078,111.1169662475586,-111.11719512939453,-18.885154724121094,18.890851974487305,4.32776403427124,4.3274664878845215
2.88534902210813e-05,0.0,0.0,0.0,16.569992065429688,-16.5706844329834,63.974422454833984,-63.97403335571289,98.952392578125,-98.95296478271484,73.66625213623047,-73.66468048095703,111.79661560058594,-111.7968521118164,-19.49297332763672,19.498857498168945,4.4670538902282715,4.466746807098389
